Skiing - Women's Downhill World Cup
"2020,12,06"
"2020,03,22"
Global 
Nicole Schmidhofer
https://www.fis-ski.com/DB/alpine-skiing/cup-standings.html?sectorcode=AL&seasoncode=2019&cupcode=WC&disciplinecode=DH&gendercode=L&nationcode=
Sofia Goggia
Corinne Suter
Cornelia Huetter
Ester Ledecka
Federica Brignone
Ilka Stuhec
Jasmine Flury
Joana Haehlen
Kira Weidle
Lara Gut-Behrami
Michaela Wenig
Michelle Gisin
Mikaela Shiffrin
Mirjam Puchner
Nadia Fanchini
Nicol Delago
Nicole Schmidhofer
Ragnhild Mowinckel
Ramona Siebenhofer
Ricarda Haaser
Romane Miradoli
Stephanie Venier
Tamara Tippler
Tina Weirather
Viktoria Rebensburg
