Football - Premier League Golden Boot
"2019,08,09"
"2020,05,17"
England
"Sadio Mané, Mohamed Salah, Pierre-Emerick Aubameyang"
https://www.premierleague.com/stats/top/players/goals
Jamie Vardy
Alexandre Lacazette
Anthony Martial
Ashley Barnes
Bernardo Silva
Callum Wilson
Chris Wood
Christian Pulisic
Danny Ings
Dele Alli
Gabriel Jesus
Harry Kane
Kevin De Bruyne
Marcus Rashford
Mohamed Salah
Pierre-Emerick Aubameyang
Raheem Sterling
Raúl Jiménez
Richarlison
Riyad Mahrez
Roberto Firmino
Sadio Mané
Sergio Agüero
Son Heung-Min
Tammy Abraham
Teemu Pukki
