Tennis - Women's Wimbledon
"2020,06,29"
"2020,07,12"

Simona Halep
https://live-tennis.eu/en/wta-live-ranking
Serena Williams
Alison Riske
Alison Van Uytvanck
Amanda Anisimova
Anastasia Pavlyuchenkova
Anastasija Sevastova
Anett Kontaveit
Angelique Kerber
Aryna Sabalenka
Ashleigh Barty
Barbora Strycova
Belinda Bencic
Bianca Andreescu
Caroline Garcia
Caroline Wozniacki
Danielle Collins
Dayana Yastremska
Donna Vekic
Ekaterina Alexandrova
Elena Rybakina
Elina Svitolina
Elise Mertens
Jelena Ostapenko
Johanna Konta
Julia Goerges
Karolina Muchova
Karolina Pliskova
Kiki Bertens
Kristina Mladenovic
Madison Keys
Magda Linette
Maria Sakkari
Marketa Vondrousova
Naomi Osaka
Petra Kvitova
Petra Martic
Polona Hercog
Qiang Wang
Rebecca Peterson
Saisai Zheng
Shuai Zhang
Simona Halep
Sloane Stephens
Sofia Kenin
Su-Wei Hsieh
Venus Williams
Veronika Kudermetova
Victoria Azarenka
Yafan Wang
Yulia Putintseva
