Cycling - Tour De France Yellow Jersey
"2020,06,27"
"2020,07,19"
France
Egan Bernal
https://www.uci.org/road/rankings
Chris Froome
Adam Yates
Alejandro Valverde
Bauke Mollema
Chris Froome
Daniel Martin
Egan Bernal
Emanuel Buchmann
Enric Mas Nicolau
Geraint Thomas
Greg Van Avermaet
Fabio Aru
Jakob Fuglsang
Julian Alaphilippe
Marc Soler
Miguel Angel Lopez
Mikel Landa
Nairo Quintana
Primož Roglič
Remco Evenepoel
Richard Carapaz
Richie Porte
Rigoberto Uran
Romain Bardet
Sergio Luis Henao Montoya
Simon Yates
Steven Kruijswijk
Tadej Pogačar
Thibaut Pinot
Tom Dumoulin
Vincenzo Nibali
Wouter Poels
