Athletics - Women's Olympics 100m
"2020,07,31"
"2020,08,01"
"New National Stadium, Tokyo, Japan"
Shelly-Ann Fraser-Pryce
https://www.worldathletics.org/records/toplists/sprints/100-metres/outdoor/women/senior/2019
Shelly-Ann Fraser-Pryce
Ajla Del Ponte
Aleia Hobbs
Allyson Felix
Ángela Tenorio
Asha Philip
Barbara Pierre
Blessing Okagbare-Ighoteguonor
Crystal Emmanuel
Dafne Schippers
Daryll Neita
Desiree Henry
Diana Vaisman
Dina Asher-Smith
Dutee Chand
Elaine Thompson
English Gardner
Ewa Swoboda
Ge Manqi
Gina Bass
Gina Lückenkemper
Imani-Lara Lansiquot
Jonielle Smith
Kelly-Ann Baptiste
Liang Xiaojing
Maja Mihalinec
Marie-Josée Ta Lou
Marije van Hunenstijn
Michelle-Lee Ahye
Morolake Akinosun
Mujinga Kambundji
Murielle Ahouré
Olga Safronova
Orlann Ombissa-Dzangue
Rosângela Santos
Salomé Kora
Tatjana Pinto
Teahna Daniels
Tebogo Mamathu
Tianna Bartoletta
Tori Bowie
Tynia Gaither
Veronica Campbell-Brown
Vitória Cristina Rosa
Wei Yongli
