Barclays Premier League Top Scorer
Tammy Abraham
Sergio Agüero
Pierre-Emerick Aubameyang
Teemu Pukki
Raheem Sterling
Jamie Vardy
Harry Kane
Sadio Mané
Callum Wilson
Ashley Barnes
Sébastien Haller
Danny Ings
Wesley
Mason Mount
Mohamed Salah
Bernardo Silva
Chris Wood
Jordan Ayew
Roberto Firmino
Gabriel Jesus
Daniel James
Raúl Jiménez
Neal Maupay
John McGinn
Marcus Rashford
Harry Wilson
Andriy Yarmolenko
Bernard
Ricardo Pereira
Dominic Calvert-Lewin
Todd Cantwell
Aaron Connolly
Aaron Cresswell
Richarlison
Kevin De Bruyne
Moussa Djenepo
Anwar El Ghazi
Jack Grealish
Jeff Hendrick
N'Golo Kanté
Joshua King
Alexandre Lacazette
Erik Lamela
James Maddison
Riyad Mahrez
Anthony Martial
Wilfred Ndidi
Tanguy Ndombele
David Silva
Douglas Luiz
Son Heung-Min
Youri Tielemans
Adama Traoré
Patrick van Aanholt
Nathan Aké
Trent Alexander-Arnold
Dele Alli
Marcos Alonso
Florin Andone
Joelinton
Harvey Barnes
Michy Batshuayi
Johann Gudmundsson
Willian
Calum Chambers
Tom Cleverley
Patrick Cutrone
Rúben Neves
Matt Doherty
Abdoulaye Doucouré
Josip Drmic
Christian Eriksen
Ryan Fraser
Jorginho
Andre Gray
Rodrigo
Chicharito
Conor Hourihane
Will Hughes
Alex Iwobi
Matthew Longstaff
David Luiz
John Lundstram
Joel Matip
Oliver McBurnie
Kenny McLean
Scott McTominay
Chris Mepham
Luka Milivojevic
James Milner
Lys Mousset
Mark Noble
Divock Origi
Nicolás Otamendi
Nicolas Pépé
Roberto Pereyra
Nathan Redmond
Callum Robinson
Lucas Moura
Jay Rodriguez
Romain Saïss
Fabian Schär
Billy Sharp
Jonjo Shelvey
Gylfi Sigurdsson
Matt Targett
Diogo Jota
Fikayo Tomori
Lucas Torreira
Andros Townsend
Leandro Trossard
Virgil van Dijk
Jannik Vestergaard
James Ward-Prowse
Adam Webster
Georginio Wijnaldum
Jetro Willems
Serge Aurier
César Azpilicueta
Séamus Coleman
Leander Dendoncker
Lewis Dunk
Ayoze Pérez
Joel Ward
