Tour De France Yellow Jersey
"2020,06,27"
"2020,07,19"
Chris Froome
Alejandro Valverde
Simon Philip Yates
Elia Viviani
Peter Sagan
Julian Alaphilippe
Geraint Thomas
Greg Van Avermaet
Tom Dumoulin
Romain Bardet
Michael Matthews
Primož Roglič
Thibaut Pinot
Tim Wellens
Miguel Angel Lopez Moreno
Jasper Stuyven
Michal Kwiatkowski
Michael Valgren Andersen
Arnaud Demare
Oliver Naesen
Niki Terpstra
Sonny Colbrelli
Alexander Kristoff
Pascal Ackermann
Nairo Quintana
Steven Kruijswijk
Jakob Fuglsang
Ion Izagirre Insausti
Domenico Pozzovivo
Philippe Gilbert
Gianni Moscon
Daryl Impey
Bauke Mollema
Egan Arley Bernal Gomez
Tiesj Benoot
Richie Porte
Michael Woods
Enric Mas Nicolau
Rigoberto Uran
Matej Mohoric
Rohan Dennis
Bob Jungels
Dylan Teuns
Diego Ulissi
Vincenzo Nibali
Adam Yates
John Degenkolb
Alexey Lutsenko
Daniel Martin
George Bennett
Roman Kreuziger
Zdeněk Štybar
Patrick Konrad
Dylan Groenewegen
Richard Carapaz
Mikel Landa Meana
Hugo Hofstetter
Marc Soler
Christophe Laporte
Andrea Pasqualon
Timothy Dupont
Eduard Prades Reverter
Pierre Latour
Sep Vanmarcke
Maximilian Schachmann
Gorka Izaguirre Insausti
Mads Pedersen
Damiano Caruso
Matteo Trentin
Yves Lampaert
Fabio Jakobsen
Luis León Sanchez
Wout Van Aert
Caleb Ewan
Sam Bennett
Wilco Kelderman
Emanuel Buchmann
Enrico Gasparotto
Timo Roosen
Edvald Boasson Hagen
Danny Van Poppel
Rui Costa
Davide Formolo
Rafal Majka
André Greipel
Sam Oomen
Silvan Dillier
Valentin Madouas
Marco Canola
Giovanni Visconti
Ivan Ramiro Sosa Cuervo
Jan Tratnik
Jens Debusschere
Toms Skujins
Nathan Haas
Jelle Vanendert
Lilian Calmejane
Kenny Dehaes
Tejay Van Garderen
Alvaro Jose Hodeg Chagui
Guillaume Martin
Søren Kragh Andersen
Felix Grossschartner
Rúben Guerreiro
Pello Bilbao Lopez De Armentia
Rudy Molard
Marc Hirschi
Ben Hermans
Fernando Gaviria Rendon
Davide Ballerini
Mathieu Van Der Poel
Tadej Pogačar
Daniel Felipe Martinez Poveda
Sean De Bie
Anthony Roux
Xandro Meurisse
Magnus Cort Nielsen
Florian Senechal
Manuel Belletti
Benjamin Dyball
Arthur Vichot
Artem Ovechkin
Jesus Herrada
Jean-Pierre Drucker
Jonathan Hivert
Hermann Pernsteiner
Tony Gallopin
Sergio Luis Henao Montoya
Taco Van Der Hoorn
Alexis Vuillermoz
Francesco Gavazzi
Jay Mccarthy
Carlos Barbero
Dries Devenyns
Alexandre Geniez
Nils Politt
Julien Simon
Giacomo Nizzolo
Serghei Tvetcov
Wout Poels
Aksel Nõmmela
Jasper Philipsen
Juan Sebastian Molano Benavides
Pieter Serry
David De La Cruz Melgarejo
Ilnur Zakarin
Fumiyuki Beppu
Jerome Baugnies
Nacer Bouhanni
Rob Power
Alexander Krieger
Sylvain Chavanel
Justin Jules
Patrick Schelling
Mathias Frank
Giulio Ciccone
Mike Teunissen
Amanuel Ghebreigzabhier Werkilul
Bjorg Lambrecht
Tom-Jelte Slagter
Robert Gesink
Rein Taaramäe
Stefan Küng
Chris Harper
Warren Barguil
Cees Bol
Jimmy Janssens
Josef Černý
Fausto Masnada
Gino Mäder
Alessandro De Marchi
Jurgen Roelandts
Jonathan Castroviejo
Jan Willem Van Schip
Antwan Tolhoek
Dimitri Claeys
Victor Campenaerts
Krists Neilands
Sergei Chernetski
Joseph Areruya
Jaime Roson Garcia
Juan Jose Lobato Del Valle
Dmitrii Strakhov
Gianluca Brambilla
Nicolas Edet
Huub Duijn
Thomas Boudat
Omar Fraile Matarranz
Samuel Dumoulin
Riccardo Zoidl
Quentin Pacher
Gregor Mühlberger
Maximilian Richard Walscheid
Paolo Totò
Onur Balkan
Mihkel Räim
Guillaume Boivin
Lukasz Owsian
Jonas Rickaert
Rasmus Christian Quaade
Georg Preidler
Sacha Modolo
Lorrenzo Manzin
Dylan Van Baarle
Kristian Sbaragli
Patrick Bevin
Martin Toft Madsen
Adam Blythe
Alexander Kamp
Jack Haig
Andrey Grivko
Jonnathan Manuel Narvaez Prado
Mauro Finetto
Gavin Mannion
Hugh John Carthy
Maximiliano Ariel Richeze
Pim Ligthart
Wouter Wippert
Fabio Aru
Javier Moreno Bazan
Coen Vermeltfoort
Sébastien Reichenbach
Bryan Coquard
Youcef Reguigui
Mikel Nieve Iturralde
Marc Sarreau
Brandon Mcnulty
Mikkel Bjerg
Jens Keukeleire
Simon Špilak
Roy Jans
Max Kanter
Michael Albasini
Rémi Cavagna
Maciej Paterski
Azzedine Lagab
Hernan Ricardo Aguirre Caipa
Thomas Lebas
Dion Smith
Peter Kennaugh
