Wimbledon Women's
"2020,06,29"
"2020,07,12"
Serena Williams
Simona Halep
Angelique Kerber
Caroline Wozniacki
Elina Svitolina
Naomi Osaka
Sloane Stephens
Petra Kvitova
Karolina Pliskova
Kiki Bertens
Daria Kasatkina
Anastasija Sevastova
Elise Mertens
Aryna Sabalenka
Julia Goerges
Ashleigh Barty
Madison Keys
Garbiñe Muguruza
Caroline Garcia
Qiang Wang
Anett Kontaveit
Jelena Ostapenko
Carla Suárez Navarro
Mihaela Buzarnescu
Dominika Cibulkova
Camila Giorgi
Lesia Tsurenko
Su-Wei Hsieh
Maria Sharapova
Aliaksandra Sasnovich
Katerina Siniakova
Petra Martic
Barbora Strycova
Donna Vekic
Daria Gavrilova
Danielle Collins
Johanna Konta
Venus Williams
Saisai Zheng
Shuai Zhang
Maria Sakkari
Anastasia Pavlyuchenkova
Kristina Mladenovic
Yulia Putintseva
Alizé Cornet
Ajla Tomljanovic
Kirsten Flipkens
Magdalena Rybarikova
Alison Van Uytvanck
Viktoria Kuzmova
Victoria Azarenka
Sofia Kenin
Monica Puig
Belinda Bencic
Aleksandra Krunic
Pauline Parmentier
Ekaterina Makarova
Dayana Yastremska
Timea Babos
Ons Jabeur
Kaia Kanepi
Alison Riske
Rebecca Peterson
Andrea Petkovic
Vera Lapko
Luksika Kumkhum
Irina-Camelia Begu
Marketa Vondrousova
Bernarda Pera
Yafan Wang
Evgeniya Rodina
Tatjana Maria
Ekaterina Alexandrova
Samantha Stosur
Johanna Larsson
Ana Bogdan
Mona Barthel
Anna Karolina Schmiedlova
Tamara Zidansek
Dalila Jakupovic
Magda Linette
Lara Arruabarrena
Stefanie Voegele
Sorana Cirstea
Polona Hercog
Sara Sorribes Tormo
Eugenie Bouchard
Madison Brengle
Zarina Diyas
Taylor Townsend
Heather Watson
Margarita Gasparyan
Anastasia Potapova
Kristyna Pliskova
Anna Blinkova
Amanda Anisimova
Katie Boulter
Kateryna Kozlova
Monica Niculescu
Coco Vandeweghe
Sachia Vickery
Fiona Ferro
Mandy Minella
Viktorija Golubic
Lucie Safarova
Svetlana Kuznetsova
Anhelina Kalinina
Olga Danilovic
Vera Zvonareva
Jessica Pegula
Mariana Duque-Mariño
Sara Errani
Nao Hibino
Jennifer Brady
Laura Siegemund
Sofya Zhuk
Tamara Korpatsch
Arantxa Rus
Marta Kostyuk
Lin Zhu
Fanny Stollar
Yanina Wickmayer
Nicole Gibbs
Julia Glushko
Shuai Peng
Caroline Dolehide
Vitalia Diatchenko
Misaki Doi
Varvara Lepchenko
Catherine Bellis
Georgina Garcia Perez
Ivana Jorovic
Kateryna Bondarenko
Veronika Kudermetova
Natalia Vikhlyantseva
Irina Khromacheva
Tereza Smitkova
Elena Vesnina
Veronica Cepede Royg
Marie Bouzkova
Sabina Sharipova
Paula Badosa Gibert
Claire Liu
Karolina Muchova
Yingying Duan
Ysaline Bonaventure
Alexandra Dulgheru
Jil Teichmann
Harriet Dart
Conny Perrin
Christina Mchale
Bianca Andreescu
Denisa Allertova
Danka Kovinic
Irina Bara
Xinyun Han
Viktoriya Tomova
Priscilla Hon
Allie Kiick
Aliona Bolsova Zadoinov
Ekaterine Gorgodze
Gabriella Taylor
Magdalena Frech
Kurumi Nara
Fangzhou Liu
Kathinka Von Deichmann
Francesca Di Lorenzo
Anna Kalinskaya
Richel Hogenkamp
Arina Rodionova
Carina Witthoeft
Valentini Grammatikopoulou
Danielle Lao
Lauren Davis
Kaja Juvan
Katarina Zavatska
Elena Rybakina
Bibiane Schoofs
Iga Swiatek
Basak Eraydin
Liudmila Samsonova
Jamie Loeb
Katie Swan
Ellen Perez
Beatriz Haddad Maia
Martina Trevisan
Varvara Flink
Rebecca Marino
Jana Cepelova
Sílvia Soler-Espinosa
Timea Bacsinszky
Jasmine Paolini
Martina Di Giuseppe
Ankita Raina
Antonia Lottner
Lesley Kerkhove
Ayano Shimizu
Tereza Martincova
Asia Muhammad
Sabine Lisicki
Kristie Ahn
Whitney Osuigwe
Karman Thandi
Valentyna Ivakhnenko
Katherine Sebov
Barbora Krejcikova
Jaimee Fourlis
Jia-Jing Lu
Dejana Radanovic
Jana Fett
Xiyu Wang
Fang Ying Xun
Tereza Mrdeza
Raluka Serban
Andreea Rosca
Anna Zaja
Elitsa Kostova
Shilin Xu
Barbara Haas
Maryna Zanevska
Na-Lae Han
Giulia Gatto-Monticone
Zoe Hives
Francoise Abanda
Chloe Paquet
Anastasia Zarycka
Quirine Lemoine
Anastasia Grymalska
Mayo Hibi
Rebecca Sramkova
Olga Doroshina
Astra Sharma
