"Women's Skiing Women Cup (Overall, Downhill, Slalom)"
Sofia Goggia
Lindsey Vonn
Tina Weirather
Nicole Schmidhofer
Michelle Gisin
Cornelia Huetter
Mikaela Shiffrin
Ilka Stuhec
Ragnhild Mowinckel
Viktoria Rebensburg
Stephanie Venier
Ramona Siebenhofer
Anna Veith
Corinne Suter
Nadia Fanchini
Breezy Johnson
Lara Gut-Behrami
Kira Weidle
Jasmine Flury
Alice Mckennis
Johanna Schnarf
Jacqueline Wiles
Tiffany Gauthier
Ester Ledecka
Nicol Delago
Christine Scheyer
Federica Brignone
Joana Haehlen
Stacey Cook
Elena Fanchini
Laurenne Ross
Verena Stuffer
Edit Miklos
Tamara Tippler
Romane Miradoli
Priska Nufer
Nina Ortlieb
Michaela Wenig
Marta Bassino
Laura Gauche
Ricarda Haaser
Mirjam Puchner
Meike Pfister
Elena Curtoni
Wendy Holdener
Alice Merryweather
Francesca Marsaglia
Lisa Hoernblad
Patrizia Dorsch
Kajsa Vickhoff Lie
Jennifer Piot
Denise Feierabend
Maria Therese Tviberg
Christina Ager
Alexandra Coletti
Dajana Dengscherz
Frida Hansdotter
Tessa Worley
Bernadette Schild
Nina Haver-Loeseth
Katharina Gallhuber
Anna Swenn Larsson
Katharina Liensberger
Irene Curtoni
Melanie Meillard
Manuela Moelgg
Estelle Alphand
Katharina Truppe
Erin Mielzynski
Meta Hrovat
Sara Hector
Ana Drev
Kristin Lysdahl
Adeline Mugnier
Chiara Costazza
Marina Wallner
Lena Duerr
Tina Robnik
Christina Geiger
Taina Barioz
Emelie Wikstroem
Elisabeth Kappaurer
Simone Wild
Laurence St-Germain
Carmen Thalmann
Thea Louise Stjernesund
Nastasia Noens
Roni Remme
Resi Stiegler
Aline Danioth
Alex Tilley
Kristine Gjelsten Haugen
Katharina Huber
Eva-Maria Brem
Anna Hofer
Carole Bissig
Coralie Frasse Sombet
Mina Fuerst Holtmann
Maren Wiesler
Asa Ando
Gabriela Capova
Julia Gruenwald
Elena Stoffel
Michaela Kirchgasser
Veronika Velez Zuzulova
Veronique Hronek
Paula Moltzan
Stephanie Resch
Charlotta Saefvenberg
Jasmina Suter
Ylva Staalnacke
Magdalena Fjaellstroem
Josephine Forni
Laura Pirovano
Nina Obrien
Camille Rast
Martina Dubovska
Nathalie Eklund
Emi Hasegawa
Piera Hudson
Marie Massios
Marie-Therese Sporer
Mikaela Tommy
Haruna Ishikawa
Vanessa Kasper
Clara Direz
Megan Mcjames
Anastasia Romanova
Petra Vlhova
Stephanie Brunner
Marie-Michele Gagnon
Ana Bucik
Valerie Grenier
Marusa Ferk
Nevena Ignjatovic
Maren Skjoeld
Rahel Kopp
Anne-Sophie Barthet
Rosina Schneeberger
Nadine Fest
Nathalie Groebli
Leona Popovic
Patricia Mangan
Adriana Jelinkova
Katerina Paulathova
Marlene Schmotz
Federica Sosio
Barbara Kantorova
Esther Paslier
Maryna Gasienica-Daniel
